SurveyID	QuestionID
1	1
1	2
1	3
1	4
1	5
1	6
1	7
2	8
1	9
1	10
2	11
1	12
2	12
2	13
1	14
1	15
2	16
2	17
2	18
2	19
1	20
2	21
1	22
1	23
2	24
1	25
1	26
1	27
2	28
2	29
1	30
2	30
2	31
1	32
2	32
2	33
2	34
1	35
2	36
1	37
1	38
1	39
2	39
1	40
2	41
2	42
1	43
2	43
1	44
1	45
2	46
2	47
1	48
1	49
2	50
1	51
2	52
1	53
2	54
1	55
2	56
2	57
1	58
1	59
1	60
2	61
1	62
1	63
1	64
2	65
1	66
1	67
2	68
2	69
2	70
2	71
1	72
2	73
1	74
1	75
1	76
2	77
1	78
2	79
2	80
1	81
2	82
2	83
2	84
2	85
2	86
2	87
1	88
2	89
1	90
1	91
